concept,period,cik,val,end
Revenues,CY2023,2098,191500947.0,2023-12-31
Revenues,CY2023,6176,422340000.0,2023-12-31
Revenues,CY2023,6955,598204000.0,2023-08-31
Revenues,CY2023,8670,18012200000.0,2023-06-30
Revenues,CY2023,12927,77794000000.0,2023-12-31
Revenues,CY2023,14272,45006000000.0,2023-12-31
Revenues,CY2023,16160,2326443000.0,2024-06-01
Revenues,CY2023,18230,67060000000.0,2023-12-31
Revenues,CY2023,19584,2264417000.0,2023-12-31
Revenues,CY2023,20520,5751000000.0,2023-12-31
Revenues,CY2023,23197,549994000.0,2023-07-31
Revenues,CY2023,26058,550422000.0,2023-12-31
Revenues,CY2023,30697,2181578000.0,2023-12-31
Revenues,CY2023,31107,258857380.0,2023-12-30
Revenues,CY2023,31667,51030300.0,2024-02-29
Revenues,CY2023,33213,6908923000.0,2023-12-31
Revenues,CY2023,34088,344582000000.0,2023-12-31
Revenues,CY2023,37996,176191000000.0,2023-12-31
Revenues,CY2023,39020,55274000.0,2024-04-30
Revenues,CY2023,45876,2366187000.0,2023-12-31
Revenues,CY2023,45919,191492000.0,2023-12-31
Revenues,CY2023,46619,2968105000.0,2023-10-31
Revenues,CY2023,51644,10889300000.0,2023-12-31
Revenues,CY2023,55242,2078184000.0,2023-06-30
Revenues,CY2023,56868,132810000.0,2023-12-31
Revenues,CY2023,60519,2581000000.0,2023-12-31
Revenues,CY2023,63754,6662200000.0,2023-11-30
Revenues,CY2023,66570,1787647000.0,2023-12-31
Revenues,CY2023,66756,1879800000.0,2023-12-31
Revenues,CY2023,69633,169997000.0,2023-06-30
Revenues,CY2023,69891,1191694000.0,2024-04-27
Revenues,CY2023,75208,451871000.0,2023-12-31
Revenues,CY2023,78003,59553000000.0,2023-12-31
Revenues,CY2023,80172,340912000.0,2023-12-31
Revenues,CY2023,97210,2676298000.0,2023-12-31
Revenues,CY2023,100726,623527000.0,2023-07-02
Revenues,CY2023,101778,6697000000.0,2023-12-31
Revenues,CY2023,103730,3402045000.0,2023-12-31
Revenues,CY2023,105418,4714573000.0,2023-12-30
Revenues,CY2023,105634,12582873000.0,2023-12-31
Revenues,CY2023,106532,318048000.0,2023-12-31
Revenues,CY2023,106535,7674000000.0,2023-12-31
Revenues,CY2023,108516,1245703000.0,2024-05-31
Revenues,CY2023,277509,1722700000.0,2023-12-31
Revenues,CY2023,277638,1693481000.0,2023-12-31
Revenues,CY2023,310764,20498000000.0,2023-12-31
Revenues,CY2023,315852,3374872000.0,2023-12-31
Revenues,CY2023,350894,1919793000.0,2023-12-31
Revenues,CY2023,351834,626730000.0,2023-12-30
Revenues,CY2023,353184,286834000.0,2024-03-31
Revenues,CY2023,701288,169326000.0,2023-12-31
Revenues,CY2023,701719,175263826.0,2023-12-31
Revenues,CY2023,703604,1570402000.0,2023-12-31
Revenues,CY2023,712515,7562000000.0,2024-03-31
Revenues,CY2023,715957,14393000000.0,2023-12-31
Revenues,CY2023,716634,222744000.0,2023-12-31
Revenues,CY2023,716643,233326000.0,2023-06-30
Revenues,CY2023,718937,322415000.0,2023-12-29
Revenues,CY2023,720500,113315000.0,2023-09-30
