form,filed,report_date,accession,items
8-K,2025-06-27,2025-06-23,0001375365-25-000020,"1.01,2.03,3.02,8.01,9.01"
8-K,2025-06-23,2025-06-23,0001375365-25-000018,"8.01,9.01"
8-K,2025-06-06,2025-06-04,0001375365-25-000016,"5.02,5.07,9.01"
10-Q,2025-05-12,2025-03-31,0001375365-25-000014,
8-K,2025-05-06,2025-05-06,0001375365-25-000013,"2.02,9.01"
8-K,2025-04-29,2025-04-29,0001375365-25-000012,"2.02,9.01"
8-K,2025-03-31,2025-03-26,0001375365-25-000008,"5.02,7.01,9.01"
8-K,2025-02-26,2025-02-21,0001375365-25-000007,"3.01,5.08,8.01,9.01"
10-Q,2025-02-25,2024-12-31,0001375365-25-000006,
10-Q,2025-02-25,2024-09-30,0001375365-25-000005,
10-K,2025-02-25,2024-06-30,0001375365-25-000004,
8-K,2025-02-21,2025-02-20,0001375365-25-000003,"1.01,2.03,3.02,9.01"
NT 10-Q,2025-02-11,2024-12-31,0001375365-25-000002,
8-K,2025-02-11,2025-02-11,0001375365-25-000001,"2.02,8.01,9.01"
8-K,2024-12-27,2024-12-20,0001375365-24-000046,"1.02,9.01"
8-K,2024-12-06,2024-12-06,0001375365-24-000045,"3.01,9.01"
8-K,2024-12-02,2024-11-27,0001375365-24-000044,"5.02,8.01,9.01"
8-K,2024-11-26,2024-11-20,0001375365-24-000043,"1.02,9.01"
8-K,2024-11-20,2024-11-14,0001375365-24-000042,"1.01,2.03,3.01,9.01"
8-K,2024-11-18,2024-11-18,0001375365-24-000040,"4.01,8.01,9.01"
NT 10-Q,2024-11-13,2024-09-30,0001375365-24-000039,
8-K,2024-11-05,2024-11-01,0001375365-24-000038,"1.02,2.02,9.01"
8-K,2024-11-01,2024-10-28,0001375365-24-000037,"1.01,2.03,9.01"
8-K,2024-10-30,2024-10-24,0001375365-24-000036,"4.01,9.01"
8-K,2024-09-30,2024-09-27,0001375365-24-000035,"1.01,2.03,3.03,5.03,9.01"
8-K,2024-09-26,2024-09-26,0001375365-24-000034,"8.01,9.01"
8-K,2024-09-20,2024-09-17,0001375365-24-000033,"3.01,9.01"
8-K,2024-09-03,2024-09-03,0001375365-24-000032,"7.01,9.01"
NT 10-K,2024-08-30,2024-08-30,0001375365-24-000031,
8-K,2024-08-28,2024-08-28,0001375365-24-000030,"8.01,9.01"
8-K,2024-08-19,2024-08-15,0001375365-24-000029,"5.02,7.01,9.01"
8-K,2024-08-06,2024-08-06,0001375365-24-000028,"2.02,9.01"
8-K,2024-07-22,2024-07-19,0001375365-24-000027,"1.01,7.01,9.01"
8-K,2024-06-21,2024-06-14,0001375365-24-000026,"1.01,2.03,9.01"
8-K,2024-05-09,2024-05-03,0001375365-24-000023,"3.01,9.01"
10-Q,2024-05-06,2024-03-31,0001375365-24-000022,
8-K,2024-04-30,2024-04-30,0001375365-24-000021,"2.02,9.01"
8-K,2024-03-22,2024-03-19,0001375365-24-000020,"1.01,8.01,9.01"
8-K,2024-03-15,2024-03-11,0001375365-24-000019,"5.02,9.01"
8-K,2024-02-28,2024-02-22,0001375365-24-000017,"1.01,2.03,3.02,9.01"
8-K,2024-02-23,2024-02-22,0001375365-24-000016,"8.01,9.01"
